City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Ampanihy,MG,2021-12-20 20:48:17,-24.7,44.75,67.23,80,100,15.17
266,Tondano,ID,2021-12-20 20:48:17,1.3038,124.9112,69.89,94,100,2.98
267,Pierre,US,2021-12-20 20:48:18,44.3683,-100.351,25.86,48,1,8.05
268,Karasuk,RU,2021-12-20 20:48:18,53.7377,78.0403,18.39,97,90,5.84
269,Monroe,US,2021-12-20 20:45:51,43.1501,-77.6831,38.46,71,75,11.5
270,Manaure,CO,2021-12-20 20:48:18,11.7751,-72.4445,84.31,55,86,15.66
271,Ukiah,US,2021-12-20 20:48:19,39.1502,-123.2078,52.99,86,90,9.22
272,Luderitz,NA,2021-12-20 20:46:56,-26.6481,15.1594,60.42,87,0,2.93
273,Snyder,US,2021-12-20 20:49:19,32.7179,-100.9176,62.74,27,0,7.54
274,Ixtapa,MX,2021-12-20 20:49:19,20.7,-105.2,87.91,35,99,5.82
275,Eureka,US,2021-12-20 20:49:20,40.8021,-124.1637,59.13,64,100,7.0
276,Kaitong,CN,2021-12-20 20:49:20,44.8135,123.15,1.8,75,0,10.18
277,Chokurdakh,RU,2021-12-20 20:49:20,70.6333,147.9167,-5.13,96,100,13.71
278,Sorong,ID,2021-12-20 20:49:21,-0.8833,131.25,79.25,84,89,3.09
279,Naze,JP,2021-12-20 20:49:21,28.3667,129.4833,59.04,59,100,5.82
280,Sinnamary,GF,2021-12-20 20:49:21,5.3833,-52.95,80.6,81,100,7.52
281,Amapa,BR,2021-12-20 20:49:21,1.0,-52.0,78.28,86,100,1.95
282,Cheremukhovo,RU,2021-12-20 20:49:22,60.3484,59.9851,-5.24,98,100,6.53
283,Bairiki,KI,2021-12-20 20:49:22,1.3292,172.9752,82.4,78,75,8.05
284,Tarata,BO,2021-12-20 20:49:23,-17.6167,-66.0167,62.02,84,100,2.53
285,Erenhot,CN,2021-12-20 20:49:23,43.6475,111.9767,16.47,77,24,5.23
286,Yellowknife,CA,2021-12-20 20:49:02,62.456,-114.3525,-27.58,73,20,0.0
287,Mar Del Plata,AR,2021-12-20 20:46:29,-38.0023,-57.5575,68.02,83,75,8.99
288,Pingliang,CN,2021-12-20 20:49:24,35.5392,106.6861,35.6,31,0,5.7
289,Edirne,TR,2021-12-20 20:49:24,41.6772,26.556,33.8,68,2,7.07
290,Tambongon,PH,2021-12-20 20:49:24,10.9677,123.9244,77.97,87,82,6.46
291,Monterrey,MX,2021-12-20 20:48:41,25.6667,-100.3167,77.05,38,0,4.05
