City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Saldanha,ZA,-33.0117,17.9442,64.45,77,42,7.27,scattered clouds
327,Tucuman,AR,-26.8241,-65.2226,96.8,36,0,4.61,clear sky
328,Fort Nelson,CA,58.8053,-122.7002,-9.81,84,90,3.44,light snow
329,Palana,RU,59.1167,159.9667,5.18,91,100,3.44,light snow
330,Abonnema,NG,4.7084,6.7931,79.39,79,100,7.72,overcast clouds
331,Acapulco,MX,16.8634,-99.8901,83.75,55,0,8.7,clear sky
332,Maldonado,UY,-34.6667,-54.9167,94.39,21,50,11.32,scattered clouds
333,Garchitorena,PH,13.8804,123.6946,76.46,85,95,15.97,overcast clouds
334,Arlit,NE,18.7369,7.3853,66.94,22,3,8.84,clear sky
335,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,81,99,7.67,overcast clouds
336,Sisimiut,GL,66.9395,-53.6735,11.35,87,70,8.99,broken clouds
337,Meulaboh,ID,4.1363,96.1285,76.51,89,69,2.53,light rain
338,Chokurdakh,RU,70.6333,147.9167,-46.61,100,75,1.16,broken clouds
339,Masvingo,ZW,-20.0637,30.8277,66.38,89,100,8.05,light rain
340,Solwezi,ZM,-12.1688,26.3894,65.28,74,100,3.11,overcast clouds
341,Shelbyville,US,35.4834,-86.4603,62.02,43,1,1.01,light rain
342,Shaunavon,CA,49.6501,-108.4181,-18.62,85,100,10.58,overcast clouds
343,Honiara,SB,-9.4333,159.95,79.81,87,99,4.25,overcast clouds
